,ds,y
0,2014-01-01,83159.0
1,2014-01-02,334180.0
2,2014-01-03,223296.0
3,2014-01-04,624192.0
4,2014-01-05,340594.0
5,2014-01-06,282374.0
6,2014-01-07,981662.0
7,2014-01-08,314568.0
8,2014-01-09,417476.0
9,2014-01-10,511126.0
10,2014-01-11,408374.0
11,2014-01-12,466852.0
12,2014-01-13,674160.0
13,2014-01-14,496670.0
14,2014-01-15,383330.0
15,2014-01-16,336099.0
16,2014-01-17,343214.0
17,2014-01-18,277164.0
18,2014-01-19,476737.0
19,2014-01-20,423461.0
20,2014-01-21,256649.0
21,2014-01-22,353819.0
22,2014-01-23,272979.0
23,2014-01-24,244897.0
24,2014-01-25,162372.0
25,2014-01-26,338363.0
26,2014-01-27,461053.0
27,2014-01-28,630669.0
28,2014-01-29,430948.0
29,2014-01-30,461389.0
30,2014-01-31,460406.0
31,2014-02-01,165722.0
32,2014-02-02,613068.0
33,2014-02-03,438709.0
34,2014-02-04,583932.0
35,2014-02-05,374251.0
36,2014-02-06,378532.0
37,2014-02-07,687192.0
38,2014-02-08,346254.0
39,2014-02-09,469424.0
40,2014-02-10,496619.0
41,2014-02-11,636760.0
42,2014-02-12,747856.0
43,2014-02-13,593218.0
44,2014-02-14,568444.0
45,2014-02-15,249586.0
46,2014-02-16,336992.0
47,2014-02-17,319880.0
48,2014-02-18,421744.0
49,2014-02-19,267317.0
50,2014-02-20,484334.0
51,2014-02-21,337595.0
52,2014-02-22,364317.0
53,2014-02-23,442654.0
54,2014-02-24,261944.0
55,2014-02-25,356534.0
56,2014-02-26,423625.0
57,2014-02-27,307966.0
58,2014-02-28,252618.0
59,2014-03-01,172853.0
60,2014-03-02,416310.0
61,2014-03-03,418677.0
62,2014-03-04,586018.0
63,2014-03-05,194882.0
64,2014-03-06,377709.0
65,2014-03-07,851407.0
66,2014-03-08,400831.0
67,2014-03-09,429200.0
68,2014-03-10,451389.0
69,2014-03-11,662591.0
70,2014-03-12,515791.0
71,2014-03-13,312670.0
72,2014-03-14,339569.0
73,2014-03-15,333578.0
74,2014-03-16,604885.0
75,2014-03-17,455051.0
76,2014-03-18,542048.0
77,2014-03-19,249804.0
78,2014-03-20,335044.0
79,2014-03-21,629377.0
80,2014-03-22,318666.0
81,2014-03-23,169151.0
82,2014-03-24,464460.0
83,2014-03-25,400056.0
84,2014-03-26,224111.0
85,2014-03-27,637569.0
86,2014-03-28,539858.0
87,2014-03-29,344976.0
88,2014-03-30,315024.0
89,2014-03-31,477272.0
90,2014-04-01,115657.0
91,2014-04-02,434228.0
92,2014-04-03,555350.0
93,2014-04-04,490763.0
94,2014-04-05,377541.0
95,2014-04-06,294068.0
96,2014-04-07,501845.0
97,2014-04-08,572832.0
98,2014-04-09,363325.0
99,2014-04-10,382518.0
100,2014-04-11,703128.0
101,2014-04-12,499068.0
102,2014-04-13,411476.0
103,2014-04-14,622933.0
104,2014-04-15,564462.0
105,2014-04-16,421307.0
106,2014-04-17,346815.0
107,2014-04-18,454917.0
108,2014-04-19,390129.0
109,2014-04-20,249337.0
110,2014-04-21,491845.0
111,2014-04-22,227526.0
112,2014-04-23,260604.0
113,2014-04-24,326944.0
114,2014-04-25,308321.0
115,2014-04-26,228296.0
116,2014-04-27,242334.0
117,2014-04-28,459077.0
118,2014-04-29,376458.0
119,2014-04-30,274960.0
120,2014-05-01,230717.0
121,2014-05-02,483503.0
122,2014-05-03,401341.0
123,2014-05-04,321370.0
124,2014-05-05,347354.0
125,2014-05-06,532720.0
126,2014-05-07,443861.0
127,2014-05-08,566356.0
128,2014-05-09,311834.0
129,2014-05-10,569748.0
130,2014-05-11,786635.0
131,2014-05-12,335378.0
132,2014-05-13,588252.0
133,2014-05-14,372673.0
134,2014-05-15,360535.0
135,2014-05-16,353575.0
136,2014-05-17,297295.0
137,2014-05-18,333344.0
138,2014-05-19,612639.0
139,2014-05-20,347598.0
140,2014-05-21,256983.0
141,2014-05-22,382875.0
142,2014-05-23,440257.0
143,2014-05-24,254126.0
144,2014-05-25,238015.0
145,2014-05-26,508814.0
146,2014-05-27,464975.0
147,2014-05-28,376922.0
148,2014-05-29,302150.0
149,2014-05-30,370578.0
150,2014-05-31,186484.0
151,2014-06-01,186484.0
152,2014-06-02,353179.0
153,2014-06-03,378281.0
154,2014-06-04,493714.0
155,2014-06-05,667928.0
156,2014-06-06,374605.0
157,2014-06-07,368777.0
158,2014-06-08,660485.0
159,2014-06-09,98558.0
160,2014-06-10,615560.0
161,2014-06-11,557007.0
162,2014-06-12,306110.0
163,2014-06-13,422937.0
164,2014-06-14,388980.0
165,2014-06-15,671883.0
166,2014-06-16,458298.0
167,2014-06-17,510365.0
168,2014-06-18,413024.0
169,2014-06-19,724263.0
170,2014-06-20,483142.0
171,2014-06-21,463157.0
172,2014-06-22,548318.0
173,2014-06-23,654988.0
174,2014-06-24,639326.0
